"","n","V2"
"695",538,83
"696",539,48
"697",539,71
"698",540,71
"699",540,83
"700",541,36
"701",542,71
"702",543,36
"703",544,13
"704",545,48
"705",546,60
"706",547,47
"707",548,13
"708",549,71
"709",550,83
"710",551,60
"711",551,82
"712",552,71
"713",552,83
"714",553,48
"715",554,47
"716",555,48
"717",556,71
"718",557,37
"719",558,1
"720",558,36
"721",558,71
"722",559,71
"723",559,72
"724",560,48
"725",560,59
"726",561,48
"727",561,72
"728",562,60
"729",562,72
"730",563,36
"731",564,25
"732",565,36
"733",566,59
"734",567,72
"735",568,71
"736",569,36
"737",569,47
"738",570,60
"739",571,60
"740",572,71
"741",573,60
"742",574,25
"743",575,59
"744",575,60
"745",576,59
"746",577,60
"747",578,71
"748",579,60
"749",580,36
"750",580,48
"751",581,71
"752",582,71
"753",583,71
"754",583,83
"755",584,59
"756",585,59
"757",586,36
"758",587,83
"759",588,59
"760",589,60
"761",589,71
"762",590,36
"763",591,35
"764",591,48
"765",592,71
"766",593,48
"767",594,36
"768",595,72
"769",596,36
"770",597,59
"771",598,60
"772",599,48
"773",600,48
"774",601,71
"775",602,48
"776",603,60
"777",604,83
"778",605,48
"779",605,59
"780",606,13
"781",607,37
"782",608,59
"783",609,25
"784",610,72
"785",611,71
"786",612,47
"787",612,60
"788",612,71
"789",613,59
"790",613,71
"791",614,24
"792",615,59
"793",615,60
"794",616,48
"795",616,60
"796",617,48
"797",618,60
"798",619,71
"799",619,72
"800",620,59
"801",621,83
"802",622,48
"803",623,49
"804",624,49
"805",625,82
"806",626,25
"807",627,25
"808",628,48
"809",629,35
"810",629,47
"811",629,71
"812",630,59
"813",631,23
"814",631,35
"815",631,48
"816",632,71
"817",633,59
"818",633,71
"819",634,60
"820",634,83
"821",635,48
"822",636,36
"823",637,59
"824",637,83
"825",638,60
"826",639,24
"827",639,83
"828",640,72
"829",641,60
"830",642,83
"831",643,72
"832",644,72
"833",645,71
"834",646,25
"835",647,72
"836",648,13
"837",648,37
"838",649,72
"839",650,71
"840",651,48
"841",652,25
"842",652,48
"843",652,60
"844",653,25
"845",654,36
"846",654,48
"847",654,59
"848",654,60
"849",655,37
"850",656,72
"851",657,71
"852",658,71
"853",659,36
"854",660,48
"855",661,48
"856",662,48
"857",663,60
"858",664,48
"859",664,59
"860",665,60
"861",666,60
"862",667,72
"863",668,59
"864",668,60
"865",669,25
"866",670,47
"867",671,72
"868",672,60
"869",673,59
"870",674,36
"871",675,60
"872",676,13
"873",676,72
"874",677,48
"875",678,60
"876",678,72
"877",679,47
"878",680,71
"879",681,25
"880",682,48
"881",683,72
"882",684,49
"883",685,48
"884",686,71
"885",686,83
"886",687,60
"887",688,72
"888",689,71
"889",690,13
"890",691,37
"891",692,71
"892",693,48
"893",694,48
"894",695,48
"895",696,83
"896",697,13
"897",697,37
"898",698,59
"899",699,25
"900",700,71
"901",701,48
"902",702,60
"903",702,72
"904",703,36
"905",704,48
"906",705,60
"907",706,60
"908",707,48
"909",707,71
"910",708,37
"911",709,71
"912",710,59
"913",711,72
"914",712,36
"915",713,36
"916",714,60
"917",715,72
"918",716,48
"919",717,83
"920",718,48
"921",719,25
"922",720,60
"923",721,71
"924",722,71
"925",723,36
"926",723,48
"927",724,47
"928",725,48
"929",725,59
"930",726,47
"931",727,60
"932",728,47
"933",729,12
"934",730,71
"935",731,59
"936",732,48
"937",732,60
"938",733,48
"939",733,83
"940",734,60
"941",735,60
"942",736,48
"943",737,13
"944",738,71
"945",739,37
"946",740,36
"947",740,48
"948",741,12
"949",742,36
"950",742,48
"951",742,59
"952",743,94
"953",744,71
"954",745,13
"955",746,59
"956",747,71
"957",748,48
"958",748,59
"959",749,72
"960",750,36
"961",750,48
"962",750,71
"963",750,83
"964",751,60
"965",752,60
"966",753,48
"967",754,37
"968",755,25
"969",756,60
"970",757,25
"971",758,37
"972",759,13
"973",759,37
"974",760,59
"975",761,72
"976",762,60
"977",763,49
"978",764,71
"979",765,83
"980",766,36
"981",767,60
"982",768,71
"983",769,35
"984",770,72
"985",771,48
"986",772,25
"987",773,37
"988",774,71
"989",775,71
"990",776,72
"991",777,60
"992",778,71
"993",778,72
"994",779,83
"995",780,48
"996",781,59
"997",782,60
"998",783,47
"999",783,60
"1000",784,37
"1001",784,72
"1002",785,83
"1003",786,71
"1004",787,60
"1005",788,36
"1006",789,48
"1007",790,60
"1008",791,25
"1009",792,60
"1010",793,49
"1011",793,60
"1012",794,36
"1013",795,60
"1014",796,72
"1015",797,36
"1016",798,59
"1017",799,48
"1018",800,48
"1019",800,60
"1020",801,37
"1021",802,24
"1022",803,60
"1023",804,1
"1024",805,59
"1025",806,48
"1026",807,71
"1027",808,71
"1028",809,72
"1029",810,37
"1030",810,60
"1031",811,48
"1032",811,72
"1033",812,59
"1034",813,72
"1035",814,60
"1036",815,71
"1037",816,60
"1038",817,72
"1039",818,72
"1040",819,71
"1041",820,13
"1042",820,72
"1043",820,94
"1044",821,59
"1045",822,37
"1046",823,36
"1047",824,71
"1048",825,71
"1049",826,83
"1050",827,71
"1051",828,59
"1052",829,47
"1053",830,24
"1054",830,48
"1055",831,36
"1056",831,59
"1057",832,60
"1058",833,25
"1059",834,72
"1060",835,25
"1061",836,48
"1062",837,71
"1063",837,72
"1064",838,25
"1065",838,71
"1066",839,83
"1067",840,60
"1068",840,83
"1069",841,36
"1070",841,83
"1071",842,60
"1072",843,59
"1073",844,59
"1074",845,60
"1075",845,72
"1076",846,60
"1077",847,37
"1078",848,71
"1079",849,48
"1080",849,49
"1081",850,71
"1082",851,25
"1083",852,60
"1084",853,25
"1085",854,25
"1086",854,72
"1087",855,48
"1088",856,48
"1089",857,60
"1090",858,48
"1091",859,36
"1092",860,72
"1093",861,71
"1094",862,25
"1095",862,60
"1096",863,72
"1097",864,48
"1098",865,47
"1099",866,83
"1100",867,48
"1101",868,71
"1102",868,72
"1103",869,83
"1104",870,37
"1105",871,49
"1106",872,48
"1107",873,48
"1108",874,60
"1109",875,83
"1110",876,36
"1111",876,72
"1112",877,71
"1113",878,24
"1114",878,36
"1115",878,48
"1116",878,71
"1117",879,36
"1118",879,72
"1119",880,47
"1120",881,36
"1121",882,49
"1122",883,49
"1123",884,71
"1124",885,71
"1125",886,48
"1126",887,48
"1127",888,60
"1128",889,60
"1129",889,72
"1130",890,48
"1131",891,60
"1132",892,25
"1133",892,48
"1134",893,25
"1135",894,60
"1136",895,60
"1137",896,71
"1138",897,83
"1139",898,71
"1140",899,72
"1141",900,49
"1142",900,60
"1143",900,71
"1144",901,48
"1145",902,60
"1146",903,60
"1147",904,59
"1148",905,49
"1149",906,25
"1150",907,83
"1151",908,59
"1152",909,49
"1153",909,60
"1154",910,47
"1155",911,48
"1156",912,59
"1157",913,71
"1158",914,60
"1159",915,71
"1160",916,25
"1161",916,48
"1162",916,49
"1163",916,60
"1164",917,71
"1165",918,36
"1166",919,36
"1167",920,1
"1168",920,48
"1169",920,60
"1170",921,59
"1171",922,72
"1172",923,60
"1173",924,48
"1174",925,36
"1175",926,36
"1176",927,71
"1177",928,71
"1178",929,48
"1179",930,71
"1180",931,47
"1181",932,59
"1182",933,48
"1183",934,60
"1184",934,71
"1185",935,36
"1186",935,60
"1187",936,59
"1188",936,60
"1189",937,48
"1190",938,25
"1191",939,59
"1192",940,59
"1193",941,60
"1194",942,71
"1195",943,25
"1196",944,71
"1197",945,48
"1198",946,83
"1199",947,71
"1200",947,72
"1201",948,36
"1202",948,60
"1203",949,71
"1204",950,71
"1205",951,82
"1206",952,71
"1207",953,36
"1208",954,25
"1209",954,71
"1210",955,48
"1211",955,72
"1212",956,35
"1213",957,59
"1214",958,24
"1215",959,25
"1216",960,60
"1217",961,71
"1218",962,25
"1219",963,59
"1220",963,60
"1221",963,71
"1222",964,48
"1223",965,25
"1224",966,25
"1225",967,25
"1226",968,71
"1227",969,48
"1228",970,47
"1229",970,71
"1230",971,59
"1231",972,48
"1232",973,25
"1233",974,35
"1234",974,59
"1235",975,71
"1236",976,24
"1237",977,37
"1238",978,48
"1239",978,83
"1240",979,82
"1241",980,13
"1242",980,37
"1243",981,37
"1244",981,48
"1245",982,71
"1246",983,71
"1247",984,83
"1248",985,23
"1249",986,37
"1250",987,83
"1251",988,71
"1252",989,60
"1253",990,24
"1254",990,47
"1255",991,60
"1256",992,83
"1257",993,48
"1258",994,72
"1259",995,48
"1260",996,59
"1261",997,83
"1262",998,48
"1263",999,36
"1264",999,48
"1265",999,71
"1266",1000,71
"1267",1001,71
"1268",1002,48
"1269",1002,60
"1270",1003,71
"1271",1004,49
"1272",1005,71
"1273",1006,24
"1274",1006,71
"1275",1007,47
"1276",1008,48
"1277",1009,37
"1278",1010,47
"1279",1011,59
"1280",1011,71
"1281",1012,72
"1282",1013,36
"1283",1013,71
"1284",1014,25
"1285",1014,36
"1286",1015,36
"1287",1016,72
"1288",1017,48
"1289",1018,71
"1290",1019,48
"1291",1020,37
"1292",1021,59
"1293",1021,71
"1294",1021,83
"1295",1022,71
"1296",1023,13
"1297",1023,25
"1298",1024,71
"1299",1025,49
"1300",1026,48
"1301",1027,36
"1302",1028,25
"1303",1029,71
"1304",1030,24
"1305",1030,59
"1306",1031,36
"1307",1031,59
"1308",1031,71
"1309",1031,82
"1310",1032,48
"1311",1032,60
"1312",1033,59
"1313",1033,60
"1314",1034,48
"1315",1035,83
"1316",1036,72
"1317",1037,71
"1318",1038,71
"1319",1039,71
"1320",1040,71
"1321",1041,71
"1322",1041,72
"1323",1041,83
"1324",1042,24
"1325",1042,25
"1326",1042,49
"1327",1042,60
"1328",1042,72
"1329",1043,26
"1330",1044,71
"1331",1045,71
"1332",1046,48
"1333",1047,48
"1334",1048,71
"1335",1049,60
"1336",1050,48
"1337",1051,36
"1338",1052,83
"1339",1053,48
"1340",1054,48
"1341",1054,60
"1342",1054,71
"1343",1055,71
"1344",1056,59
"1345",1057,60
"1346",1058,48
"1347",1059,59
"1348",1060,71
"1349",1061,72
"1350",1062,47
"1351",1063,25
"1352",1063,48
"1353",1064,47
"1354",1065,71
"1355",1066,37
"1356",1067,47
"1357",1067,71
"1358",1068,83
"1359",1069,60
"1360",1070,35
"1361",1070,59
"1362",1071,59
"1363",1072,37
"1364",1073,48
"1365",1073,60
"1366",1074,72
"1367",1075,36
"1368",1075,83
"1369",1076,72
"1370",1077,48
"1371",1078,59
"1372",1079,59
"1373",1080,48
"1374",1080,60
"1375",1081,37
"1376",1082,37
"1377",1083,13
"1378",1084,37
"1379",1085,71
"1380",1086,48
"1381",1086,71
"1382",1087,60
"1383",1088,47
"1384",1089,48
"1385",1090,37
"1386",1091,1
"1387",1091,13
"1388",1092,35
"1389",1092,47
"1390",1092,59
"1391",1093,71
"1392",1094,13
"1393",1094,37
"1394",1094,48
"1395",1094,49
"1396",1095,48
"1397",1096,23
"1398",1096,36
"1399",1097,60
"1400",1098,13
"1401",1099,60
"1402",1100,25
"1403",1101,25
"1404",1102,37
"1405",1103,59
